imgName;medianR;medianG;medianB;histR;histG;histB;r;g;b;saturationHsv;hueHsv;valueHsv;saturationHsi;hueHsi;intensityHsi;lLab;aLab;bLab
D2_184.jpg;1463.0;943.0;710.0;1461.909;1220.2307;1119.5714;171.49674329501914;149.06283524904214;135.2875478927203;66.7043582375479;113.56293103448276;174.94827586206895;0.14541007578372955;0.0;0.5958786010742188;165.41472083333332;134.800675;141.2034125
D2_186.jpg;991.0;776.0;735.0;921.13043;799.38464;733.3214;168.24195700518902;145.2353595255745;131.63057820607858;68.40374351371386;113.34128984432914;171.49525574499629;0.15032100677490234;0.0;0.581840455532074;170.41014166666668;134.97217916666668;141.60452916666668
D2_190.jpg;270.5;208.0;176.0;260.16666;206.73334;187.53847;136.29498626373626;118.66266025641026;119.01293498168498;72.48809523809524;127.61847527472527;146.00675366300365;0.15230818092823029;4.467296600341797;0.488850474357605;165.56924166666667;135.5746;142.22007916666666
D2_192.jpg;843.0;746.0;690.0;847.24;727.65515;632.0606;170.16536203522506;146.39251844046365;133.08418636158362;72.52438657233178;110.383072407045;174.16920066235136;0.1643758863210678;0.0;0.5877674221992493;164.547175;134.94104583333333;141.21075416666667
D2_199.jpg;285.5;277.0;314.0;344.40625;356.64;384.66666;157.2589237788513;138.14734299516908;130.981884057971;64.41196994095544;105.02033011272141;163.6935050993022;0.13321448862552643;0.0;0.5573701858520508;167.6454875;134.79315416666665;141.21124583333332
D2_202.jpg;508.0;442.0;411.5;476.66666;417.26086;393.70834;161.6622474747475;140.4747474747475;129.91761363636363;69.83751578282828;95.97569444444444;167.57820391414143;0.1480388343334198;3.350787878036499;0.5647773146629333;165.61643333333333;135.01532916666667;141.30732916666668
D2_207.jpg;1080.0;1187.0;1114.0;1272.1177;1172.6666;1005.2381;172.24818643112198;149.6917120841947;134.81183987972184;64.07242999436197;103.26596504416463;175.0996053373426;0.13795289397239685;0.0;0.5970611572265625;163.9984625;134.67552083333334;141.1007
D2_209.jpg;436.0;452.0;410.0;446.7143;440.92307;387.07144;148.0308526718236;130.02845203165288;125.68427136125189;67.67831421712457;112.32657597581577;155.5905574819952;0.14232812821865082;0.0;0.5277694463729858;164.87194583333334;134.74247916666667;141.35179166666666
D2_212.jpg;719.0;695.0;756.0;1112.1052;1197.2354;1120.1111;179.24967861160212;155.5992286678451;139.66603728105414;65.61011569982324;108.1363490278001;182.2173790776153;0.14155469834804535;3.778611421585083;0.6202809810638428;165.30317083333333;134.7846;141.42181666666667
D2_215.jpg;343.5;396.0;407.5;515.95;430.69565;414.75;163.16290060552356;140.85888347363758;129.38428592526952;68.57783193029094;102.05671245015508;167.80748781568454;0.14641344547271729;0.0;0.5665439367294312;166.246625;135.19448333333332;141.68124583333332
D3_019.jpg;0;0;0;120;155;162;130.59247258225324;113.03065802592224;106.41525423728814;80.64481555333998;108.32926221335993;135.16375872382852;0.19626332819461823;0.0;0.4575665295124054;164.9953625;134.91704583333333;140.2378625
D3_020.jpg;0;0;0;120;155;162;93.1996138996139;82.32664092664092;87.32277992277993;88.63822393822394;107.77451737451737;103.44517374517375;0.2197401076555252;0.0;0.3435935378074646;165.944825;134.573525;140.632275
D3_026.jpg;297.0;250.0;241.0;323.4737;259.625;247.04347;134.16665250998045;115.87241994393952;114.32540558905971;88.15195786970186;122.00662532914295;142.8517794954557;0.21737052500247955;4.266873359680176;0.4762934446334839;167.83449166666668;134.77814166666667;141.0899
D3_030.jpg;352.5;225.0;232.0;339.4;235.5;244.77777;143.35583333333332;126.41180555555556;127.67152777777778;72.22777777777777;98.86958333333334;155.12930555555556;0.14729075133800507;3.457491397857666;0.519528329372406;167.09849583333335;134.7922625;140.4350125
D3_035.jpg;344.0;295.0;261.0;330.275;298.6154;265.7561;153.79217525718246;133.6980971163584;128.80033047278928;72.94312669900326;105.96684611694472;162.36677149405682;0.15616227686405182;0.0;0.5441707372665405;165.869925;135.2099875;141.08132083333334
D3_038.jpg;417.0;349.5;273.0;409.3846;346.64285;281.2353;142.58782679738562;125.11672794117646;122.75970179738562;76.40951797385621;110.81025326797386;151.89736519607843;0.16754192113876343;0.0;0.5104107856750488;165.7679875;134.53140833333333;140.6622
D3_042.jpg;721.5;615.0;590.5;668.7778;613.8947;524.36365;159.20944863875545;140.3886982383894;130.74919926790207;63.495710363761155;94.01778769160376;164.3863532372455;0.13486173748970032;0.0;0.5625455975532532;165.26977083333333;134.27562083333333;140.3165875
D3_046.jpg;0;0;0;120;155;162;132.43673780487805;116.22903963414635;115.98323170731707;78.58041158536585;96.19016768292683;142.8532774390244;0.17416435480117798;0.0;0.4766654074192047;164.96895833333335;134.7211875;140.8226
D3_051.jpg;183.0;369.0;345.5;327.7143;396.64706;337.2;148.80807692307692;131.5080769230769;126.91184615384616;63.18238461538461;94.79261538461539;156.191;0.12817806005477905;3.3138725757598877;0.5323241949081421;165.16229166666668;134.84167083333332;140.7883125
D3_073.jpg;217.0;298.0;338.5;490.0;434.375;452.5;156.6497353514718;138.85012535982915;134.2593555576191;67.66199275698764;94.0645370972235;165.71863682793202;0.13906750082969666;3.2842142581939697;0.5617768168449402;165.4327625;134.20559583333332;140.0823125
D3_084.jpg;1263.5;946.0;936.0;1020.3125;943.58826;832.3158;171.41294209094443;149.91930625728722;134.9469005052468;64.11319471434123;101.31043528954528;174.03332685581034;0.14062154293060303;0.0;0.5964433550834656;165.7620875;134.33330416666666;140.34097916666667
D3_090.jpg;307.0;219.0;213.0;289.63635;238.3;226.4;132.18802862719585;116.63968770331815;118.85543266102798;80.83968770331815;100.85712426805465;143.97488614183473;0.18021376430988312;0.0;0.48063158988952637;166.9822375;134.49462083333333;140.33604166666666
D3_096.jpg;0;0;0;120;155;162;89.6847764572722;80.78777589134125;88.60441426146011;82.79739671760045;93.80871533672892;102.3276740237691;0.17697089910507202;0.0;0.338662713766098;166.0878;134.53866666666667;140.37049166666668
D3_097.jpg;967.0;876.5;700.0;756.913;806.35;667.3333;176.09807861974315;153.5059307910989;139.62822272326244;64.04729928438388;100.24899519654936;179.7482599745123;0.13509784638881683;3.5018181800842285;0.6133754849433899;165.31395833333335;134.65868333333333;140.46737916666666
D3_106.jpg;576.5;589.5;483.0;568.1818;567.8;458.68;161.6134335103378;142.59722065303356;133.58343689978534;62.27409332278839;98.69850864309117;166.82629081459723;0.1311173141002655;0.0;0.5722798705101013;167.80235;134.26216666666667;140.09986666666666
D3_114.jpg;210.0;271.0;313.0;421.0476;417.5263;369.0476;164.5584426576386;144.43504020313162;137.3437156157427;64.49174777824798;111.6038087177317;171.29682606855692;0.13156138360500336;3.90120267868042;0.5834473371505737;165.286575;134.5863125;140.22755833333332
D3_119.jpg;1186.0;1047.5;977.0;1274.5;1137.4;941.125;172.8315986394558;150.61479591836735;138.7743537414966;66.9132993197279;103.04534013605442;177.39319727891157;0.1442050039768219;0.0;0.6042101979255676;166.023875;134.5642625;140.16005416666667
D3_125.jpg;613.0;477.0;383.0;600.61536;499.66666;418.5;168.9755880256593;147.66830007127584;139.22255880256594;66.7843014967926;102.6863863150392;175.89789736279403;0.13842886686325073;3.592132806777954;0.5959038734436035;167.08832083333334;134.9972875;140.844175
D3_129.jpg;0;0;0;120;155;162;128.5825806451613;113.1474193548387;111.12258064516129;73.46225806451613;100.02;136.6158064516129;0.17654962837696075;0.0;0.46124523878097534;165.814725;134.74909166666666;140.41093333333333
D3_155.jpg;243.5;288.0;222.5;299.83334;280.6154;232.27777;140.80093023255813;125.71488372093023;127.11674418604652;66.40860465116279;98.52779069767442;152.03046511627906;0.13095644116401672;3.443450689315796;0.5145524144172668;165.45944583333332;134.37447083333333;140.25275416666668
D3_156.jpg;234.5;226.5;204.0;300.25;258.9375;218.05882;133.6077497665733;117.4390289449113;116.04042950513539;67.74481792717087;109.92156862745098;141.5626517273576;0.1463543325662613;0.0;0.4798525273799896;165.96692916666666;134.9719875;140.75992083333333
D3_166.jpg;263.5;220.0;222.0;359.3889;299.7619;269.56522;153.31372549019608;134.27005778156672;125.68059107701052;62.050771999621105;118.10845884247419;157.47096713081368;0.13430580496788025;0.0;0.5402148962020874;164.37248333333332;134.57562083333335;140.725225
D3_167.jpg;617.0;492.0;428.0;632.1111;521.9091;426.3846;153.8914501653283;134.14718941898914;124.45111006140765;64.5384978743505;109.66773736419462;158.0959848842702;0.1427859663963318;0.0;0.5392023324966431;163.8304375;135.012875;141.04064583333334
D3_174.jpg;280.0;376.0;400.0;427.23077;398.96;384.28;160.47293178519593;140.15435413642962;132.13483309143686;65.57568940493469;96.83280116110305;166.56023222060958;0.1360015869140625;3.387221574783325;0.5657021403312683;165.35295;134.70335833333334;140.320725
IMG_8426.jpg;800.0;846.0;717.0;1069.64;1080.625;953.62964;181.03297906602253;160.85468599033817;147.25210950080515;57.45471819645733;102.74943639291466;184.21349436392916;0.12063363939523697;3.59413480758667;0.6393983960151672;170.74101666666667;133.47890833333332;138.98410416666667
IMG_8431.jpg;386.0;382.0;339.5;376.66666;346.33334;312.9;152.72973861581457;135.96580634555318;128.20433996383363;62.83955285221108;95.84382705901693;158.96120335360843;0.13326133787631989;0.0;0.5449671745300293;165.8153;134.0712875;140.57581666666667
IMG_8435.jpg;516.0;576.0;599.0;708.0833;613.8148;567.37933;169.87062006971198;150.11750137589434;137.31420840212806;59.35406347459182;104.36245643001284;173.22683911208952;0.12492378056049347;0.0;0.5977808237075806;169.96185416666665;134.01217083333333;140.41626666666667
IMG_8441.jpg;324.0;259.0;226.0;331.77777;247.33333;231.66667;149.55940216562453;132.89080372121396;126.9783437547659;59.381119414366324;107.74226017996035;155.3102028366631;0.12128891795873642;0.0;0.5352007150650024;169.3019625;134.1066125;140.48030833333334
IMG_8449.jpg;455.0;304.0;270.5;414.3846;310.70587;283.16666;148.3862539827037;131.76531634046427;127.3441966317706;66.14538006372327;99.6910332271279;156.3256258534365;0.13957685232162476;0.0;0.532674252986908;167.74680416666666;134.15015833333334;140.92365
IMG_8457.jpg;565.0;403.0;403.0;520.2;399.0;390.76923;154.57547387887195;136.95654184003698;127.60078594544613;61.89990753582987;100.53559870550161;159.39493758668516;0.13072356581687927;0.0;0.5478860139846802;167.70609583333334;134.173075;140.69456666666667
